id,name,data_version,day_ago_created ,price,list_price,original_price,discount,discount_rate,rating_average,review_count,favourite_count,all_time_quantity_sold,inventory_status,inventory_type,has_ebook ,url_path,authors,seller_name;spid;price,breadcrumbs,number_of_page
214154709,Sách - Một số vấn đề pháp lý về hộ chiếu vaccine,3300,167,139000,139000,139000,0,0,0.0,0,0,,available,backorder,False,sach-mot-so-van-de-phap-ly-ve-ho-chieu-vaccine-p214154709.html?spid=214154711,,Sách Luật Online;214154711;139000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Sách - Một số vấn đề pháp lý về hộ chiếu vaccine,
247269923,Thói Quen Của Toyota - Nghệ Thuật Nâng Cao Năng Suất Công Việc,3300,99,88200,98000,98000,9800,10,0.0,0,0,,available,backorder,False,thoi-quen-cua-toyota-nghe-thuat-nang-cao-nang-suat-cong-viec-p247269923.html?spid=247269924,,Taurus 1987;247269924;88200,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Thói Quen Của Toyota - Nghệ Thuật Nâng Cao Năng Suất Công Việc,188
36702049,Mã Vân Giày Vải (Tái Bản) (Tặng kèm Tickbook),3300,1342,104000,149000,149000,45000,30,5.0,1,0,5.0,available,backorder,False,ma-van-giay-vai-tai-ban-tang-kem-tickbook-p36702049.html?spid=76468728,Lý Tường | Vương Lợi Phân,Alpha Books Official;76468728;104000 | Times Books;57071859;89200 | Nhà Sách Vĩnh Thụy;177454667;144000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Mã Vân Giày Vải (Tái Bản) (Tặng kèm Tickbook),447
202847466,Sự Suy Tàn Của Quyền Lực_BV,3300,237,138330,159000,159000,20670,13,0.0,0,0,,available,backorder,False,su-suy-tan-cua-quyen-luc_bv-p202847466.html?spid=202847516,Moisés Naím,NewShop Official;202847516;138330 | VBooks;230368332;106530 | Times Books;248783232;106230,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Sự Suy Tàn Của Quyền Lực_BV,464
205753293,Học Viện Thành Công - Bí mật từ 50 bậc thầy thế giới,3300,216,360000,360000,360000,0,0,0.0,0,0,,available,backorder,False,hoc-vien-thanh-cong-bi-mat-tu-50-bac-thay-the-gioi-p205753293.html?spid=205753294, Og Mandino,BOOKCITY;205753294;360000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Học Viện Thành Công - Bí mật từ 50 bậc thầy thế giới,760
262834559,Chết Vì Chứng Khoán,3300,12,133000,199000,199000,66000,33,0.0,0,0,,available,backorder,False,chet-vi-chung-khoan-p262834559.html?spid=263041203,,Bảo Châu Books;263041203;133000 | Sống Official;263021757;139000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Chết Vì Chứng Khoán,
249023636,Luật Hấp Dẫn (Tái Bản) -  Cara Alwill Leyba,3300,84,89000,89000,89000,0,0,0.0,0,0,,available,backorder,False,luat-hap-dan-tai-ban-cara-alwill-leyba-p249023636.html?spid=249023637,Cara Alwill Leyba,Nhà sách Anh Thành;249023637;89000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Luật Hấp Dẫn (Tái Bản) -  Cara Alwill Leyba,
15080484,Combo hiệu năng châm ngôn của doanh nghiệm +100 phương pháp thúc đẩy mọi người (tặng kèm bookmark AHA),3300,1507,141700,218000,218000,76300,35,0.0,0,0,,available,backorder,False,combo-hieu-nang-cham-ngon-cua-doanh-nghiem-100-phuong-phap-thuc-day-moi-nguoi-tang-kem-bookmark-aha-p15080484.html?spid=58107219,Nhiều Tác Giả,The King of Books;58107219;141700 | The 1991 Book;247860875;141700,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Combo hiệu năng châm ngôn của doanh nghiệm +100 phương pháp thúc đẩy mọi người (tặng kèm bookmark AHA),339
36373594,Combo Sách Kinh Tế:  Để Trở Thành Thủ Lĩnh Kinh Doanh Xuất Sắc + Kinh Doanh Bằng Trực Giác - (Những Cuốn Sách Cần Thiết Cho Nhà Kinh Doanh Thành Đạt / Tặng Kèm Postcard Greenlife),3300,1344,200850,309000,309000,108150,35,0.0,0,0,1.0,available,backorder,False,combo-sach-kinh-te-de-tro-thanh-thu-linh-kinh-doanh-xuat-sac-kinh-doanh-bang-truc-giac-nhung-cuon-sach-can-thiet-cho-nha-kinh-doanh-thanh-dat-tang-kem-postcard-greenlife-p36373594.html?spid=58107476,Nhiều Tác Giả,The King of Books;58107476;200850 | AHABOOKS;36373595;222482 | Shop60s;57643831;309000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | Combo Sách Kinh Tế:  Để Trở Thành Thủ Lĩnh Kinh Doanh Xuất Sắc + Kinh Doanh Bằng Trực Giác - (Những Cuốn Sách Cần Thiết Cho Nhà Kinh Doanh Thành Đạt / Tặng Kèm Postcard Greenlife),
257847091,100 Bài học cho doanh nhân trẻ,3300,34,60000,75000,75000,15000,20,0.0,0,0,,available,backorder,False,100-bai-hoc-cho-doanh-nhan-tre-p257847091.html?spid=257847092,,Nhà Sách Minh Đức;257847092;60000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách doanh nhân | 100 Bài học cho doanh nhân trẻ,372
