id,name,data_version,day_ago_created ,price,list_price,original_price,discount,discount_rate,rating_average,review_count,favourite_count,all_time_quantity_sold,inventory_status,inventory_type,has_ebook ,url_path,authors,seller_name;spid;price,breadcrumbs,number_of_page
38419971,"Cách Tạo Nội Dung , Thao Túng Người Dùng (IMPOSSIBLE TO IGNORE)",3300,1329,119200,149000,149000,29800,20,5.0,3,0,30.0,available,backorder,False,cach-tao-noi-dung-thao-tung-nguoi-dung-impossible-to-ignore-p38419971.html?spid=41084447,Carmen Simon,Nhà sách Fahasa;41084447;119200 | Sống Official;50743709;104300 | Times Books;55675241;89200 | Alpha Books Official;60722408;104000 | ETS Books;71077745;104300 | Omega Plus Books;73717649;104300 | Nhà Sách Đinh Lễ;84439769;141550 | Nhà Sách Lifebooks;88942862;149000 | info book;117815434;131000 | Nhà Sách Vĩnh Thụy;122241210;144000 | Trạm đọc;125744478;103703 | VBooks;161907214;89400 | Zing Books;169127327;149000 | Bamboo Books;178482877;119200 | Đồ chơi giáo dục thông minh;192535376;104300 | nha sach nguyet linh;207270858;149000 | HỆ THỐNG NHÀ SÁCH ABC;249373241;131000 | Nhà Sách Trẻ Online;262016615;88900 | Tiệm Sách Hoa Hồng;262016616;89400,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Cách Tạo Nội Dung , Thao Túng Người Dùng (IMPOSSIBLE TO IGNORE)",332
73633330,"Think And Grow Rich - 13 Nguyên Tắc Nghĩ Giàu, Làm Giàu (Tái Bản)",3300,929,99000,110000,110000,11000,10,0.0,0,0,1.0,available,backorder,False,think-and-grow-rich-13-nguyen-tac-nghi-giau-lam-giau-tai-ban-p73633330.html?spid=184578789,Napoleon Hill,Bamboo Books;184578789;99000 | Geta;88237345;109000 | Times Books;115675481;106730 | info book;116360281;97000 | Nhà Sách Vĩnh Thụy;116877774;107000 | Nhà Sách Trẻ Online;133052380;106430 | Tiệm Sách Hoa Hồng;143761314;107030 | AHABOOKS;170345801;123650 | Zing Books;170675049;139000 | Thu Minh Books;191949025;110000 | HỆ THỐNG NHÀ SÁCH ABC;196056271;97000 | Tiệm sách Minh Hằng;217499772;110000 | Nhà Sách Dalifa;217575043;99000 | Omega Plus Books;221234055;111000 | Alpha Books Official;221234199;111200 | ETS Books;221234361;111000 | Sống Official;221234998;111000 | Happy Books HCM;227264360;110000 | Trạm đọc;229703507;88000 | Minhhabooks;241736364;110000 | ATP Book;248595284;110000 | MHbooks;249021114;110000,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Think And Grow Rich - 13 Nguyên Tắc Nghĩ Giàu, Làm Giàu (Tái Bản)",399
14712416,Làm Giàu Qua Chứng Khoán ( Tái Bản ),3300,1516,123750,165000,165000,41250,25,0.0,0,0,3.0,available,backorder,False,lam-giau-qua-chung-khoan-tai-ban-p14712416.html?spid=253589942,William J.O'neil,WTBOOKS;253589942;123750,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Làm Giàu Qua Chứng Khoán ( Tái Bản ),472
4366987,Thuật Thiết Lập Chiến Lược Kinh Doanh (Tái Bản 2018),3300,1747,62100,69000,69000,6900,10,5.0,3,0,26.0,available,backorder,False,thuat-thiet-lap-chien-luoc-kinh-doanh-tai-ban-2018-p4366987.html?spid=20426683,Brian Tracy,Nhà sách Fahasa;20426683;62100 | Tiki Trading;4368249;49000 | Times Books;55746398;47724 | Sống Official;72192994;48300 | Alpha Books Official;74815444;48000 | Nhà Sách Vĩnh Thụy;75789235;61000 | ETS Books;88950127;48300 | Bamboo Books;186748677;62100 | Minhhabooks;212577527;65000 | Nhà Sách Trẻ Online;262056141;47424 | Tiệm Sách Hoa Hồng;262056142;48024 | VBooks;262056143;48024,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Thuật Thiết Lập Chiến Lược Kinh Doanh (Tái Bản 2018),144
4423939,Nguyên Tắc Thiết Kế Slide Chuẩn Ted,3300,1746,55250,65000,65000,9750,15,4.6,33,0,430.0,available,backorder,False,nguyen-tac-thiet-ke-slide-chuan-ted-p4423939.html?spid=25186504,,Nhà sách Fahasa;25186504;55250 | Geta;48504401;55000 | SÁCH NGHÉ;74198240;55000 | info book;120442274;57000 | Nhà Sách Vĩnh Thụy;120455619;57000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Nguyên Tắc Thiết Kế Slide Chuẩn Ted,187
1938935,Tiền Không Bao Giờ Là Đủ (Tái Bản),3300,1890,111200,139000,139000,27800,20,5.0,4,0,15.0,available,backorder,False,tien-khong-bao-gio-la-du-tai-ban-p1938935.html?spid=20485677,Laura Vanderkam,Nhà sách Fahasa;20485677;111200 | Times Books;55852469;96444 | ETS Books;71081624;97300 | Sống Official;72192991;97300 | Nhà Sách Lifebooks;88935524;139000 | Nhà Sách Vĩnh Thụy;122353806;118000 | Bamboo Books;188230931;111200 | HỆ THỐNG NHÀ SÁCH ABC;207281569;122000 | Tiệm Sách Hoa Hồng;260819993;96744 | VBooks;260820000;96744,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Tiền Không Bao Giờ Là Đủ (Tái Bản),376
17456920,Quản Lý Công Việc Hiệu Quả Theo Phong Cách Người Nhật,3300,1483,88000,110000,110000,22000,20,3.0,1,0,89.0,available,backorder,False,quan-ly-cong-viec-hieu-qua-theo-phong-cach-nguoi-nhat-p17456920.html?spid=21226474,Daisuke Sasaki,Nhà sách Fahasa;21226474;88000 | 1980 BOOKS HCM;55713197;71500 | 1980Books Official;97831207;71500 | Nhà Sách Vĩnh Thụy;201851017;97000 | info book;208175040;97000 | Trao Tri thức Gặt Niềm tin;212568011;90933 | Nhà sách PLV;212936056;110000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Quản Lý Công Việc Hiệu Quả Theo Phong Cách Người Nhật,252
32314553,"Không Đọc Sách Này, Vẽ Xấu Ráng Chịu !",3300,1375,97500,125000,125000,27500,22,4.7,43,0,204.0,available,backorder,False,khong-doc-sach-nay-ve-xau-rang-chiu-p32314553.html?spid=35443529,Selwyn Leamy,Nhà sách Fahasa;35443529;97500 | VIETNAMBOOK;94086126;101250 | Nhà sách NetaBooks;242658467;106250 | VanLangBooks;248936122;106300,"Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Không Đọc Sách Này, Vẽ Xấu Ráng Chịu !",128
72668414,Ứng Dụng Trí Tuệ Nhân Tạo Trong Phân Tích Thị Trường Chứng Khoán,3300,952,183200,229000,229000,45800,20,4.5,8,0,36.0,available,backorder,False,ung-dung-tri-tue-nhan-tao-vao-phan-tich-thi-truong-chung-khoan-p72668414.html?spid=76152189,Cris DoLoc,Nhà sách Fahasa;76152189;183200 | Tiki Trading;72668415;154000 | AHABOOKS;81706660;229000 | MHbooks;92555927;239000 | 1980 BOOKS HCM;111869398;148850 | Nhà Sách Vĩnh Thụy;201845073;202000 | info book;208120018;202000 | Nhà sách PLV;212256625;229000 | HỆ THỐNG NHÀ SÁCH ABC;254079041;202000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Ứng Dụng Trí Tuệ Nhân Tạo Trong Phân Tích Thị Trường Chứng Khoán,452
1659973,Lãnh Đạo Và Nhân Đạo - Dẫn Đường Và Mở Hướng,3300,1919,67000,67000,67000,0,0,0.0,0,0,13.0,available,backorder,False,lanh-dao-va-nhan-dao-dan-duong-va-mo-huong-p1659973.html?spid=196902103,Tôn Thất Nguyễn Thiêm,AN HOA BOOK;196902103;67000 | Hiệu Sách Tự Do;222389519;70000,Nhà Sách Tiki | Sách tiếng Việt | Sách kinh tế | Sách kỹ năng làm việc | Lãnh Đạo Và Nhân Đạo - Dẫn Đường Và Mở Hướng,220
